ad_id,country,age_range,male,female,unknown
810158857739102,CZ,18-24,705.0,65.0,3.0
810158857739102,CZ,25-34,1815.0,195.0,14.0
810158857739102,CZ,35-44,1741.0,329.0,16.0
810158857739102,CZ,45-54,1849.0,655.0,17.0
810158857739102,CZ,55-64,864.0,456.0,4.0
1414154145937938,CZ,18-24,2502.0,1201.0,33.0
1414154145937938,CZ,25-34,5207.0,1629.0,31.0
1414154145937938,CZ,35-44,3138.0,759.0,18.0
1414154145937938,CZ,45-54,2283.0,720.0,21.0
1414154145937938,CZ,55-64,1007.0,516.0,8.0
7557793870934647,CZ,55-64,434.0,287.0,1.0
7557793870934647,CZ,18-24,262.0,32.0,
7557793870934647,CZ,25-34,603.0,88.0,5.0
7557793870934647,CZ,35-44,640.0,180.0,7.0
7557793870934647,CZ,45-54,785.0,378.0,4.0
336873656176167,CZ,18-24,1456.0,247.0,23.0
336873656176167,CZ,25-34,3038.0,692.0,23.0
336873656176167,CZ,35-44,2137.0,606.0,12.0
336873656176167,CZ,45-54,1874.0,880.0,16.0
336873656176167,CZ,55-64,710.0,458.0,2.0
1662027881276035,CZ,18-24,14444.0,12107.0,166.0
1662027881276035,CZ,25-34,31996.0,21966.0,223.0
1662027881276035,CZ,35-44,11417.0,7922.0,159.0
1662027881276035,CZ,45-54,6309.0,4524.0,62.0
1662027881276035,CZ,55-64,2104.0,1896.0,20.0
7384251351685479,CZ,18-24,11279.0,6531.0,93.0
7384251351685479,CZ,25-34,26075.0,14314.0,138.0
7384251351685479,CZ,35-44,13174.0,5413.0,123.0
7384251351685479,CZ,45-54,4800.0,2269.0,47.0
7384251351685479,CZ,55-64,951.0,693.0,11.0
1716763832393679,CZ,18-24,524.0,84.0,1.0
1716763832393679,CZ,55-64,649.0,438.0,3.0
1716763832393679,CZ,25-34,1241.0,291.0,12.0
1716763832393679,CZ,35-44,1322.0,435.0,13.0
1716763832393679,CZ,45-54,1422.0,752.0,14.0
316912494794723,CZ,55-64,386.0,308.0,4.0
316912494794723,CZ,18-24,3922.0,3794.0,145.0
316912494794723,CZ,25-34,6536.0,5247.0,61.0
316912494794723,CZ,35-44,2389.0,1646.0,25.0
316912494794723,CZ,45-54,1273.0,889.0,16.0
972587434592130,CZ,18-24,349.0,57.0,5.0
972587434592130,CZ,25-34,794.0,205.0,3.0
972587434592130,CZ,35-44,737.0,305.0,3.0
972587434592130,CZ,45-54,709.0,455.0,7.0
972587434592130,CZ,55-64,353.0,302.0,4.0
1530948234181844,CZ,18-24,2002.0,350.0,18.0
1530948234181844,CZ,25-34,7935.0,2009.0,44.0
1530948234181844,CZ,35-44,6550.0,2028.0,51.0
1530948234181844,CZ,45-54,5175.0,2318.0,56.0
1530948234181844,CZ,55-64,1933.0,1183.0,16.0
1580933359117072,CZ,18-24,12872.0,13380.0,211.0
1580933359117072,CZ,25-34,25953.0,18316.0,201.0
1580933359117072,CZ,35-44,13810.0,7915.0,149.0
1580933359117072,CZ,45-54,8592.0,5060.0,90.0
1580933359117072,CZ,55-64,3270.0,2755.0,16.0
1594177124698126,CZ,18-24,6543.0,1093.0,43.0
1594177124698126,CZ,25-34,18458.0,1519.0,41.0
1594177124698126,CZ,35-44,6681.0,714.0,30.0
1594177124698126,CZ,45-54,4871.0,662.0,19.0
1594177124698126,CZ,55-64,2038.0,481.0,4.0
798579188890917,CZ,18-24,1314.0,218.0,5.0
798579188890917,CZ,25-34,3621.0,894.0,22.0
798579188890917,CZ,35-44,2946.0,1007.0,25.0
798579188890917,CZ,45-54,2600.0,1256.0,34.0
798579188890917,CZ,55-64,1086.0,736.0,10.0
1458681668089502,CZ,18-24,7335.0,3944.0,141.0
1458681668089502,CZ,25-34,15743.0,6215.0,93.0
1458681668089502,CZ,35-44,7492.0,2640.0,54.0
1458681668089502,CZ,45-54,3949.0,1595.0,30.0
1458681668089502,CZ,55-64,1292.0,797.0,8.0
1738335833238939,CZ,18-24,735.0,167.0,4.0
1738335833238939,CZ,25-34,1978.0,550.0,19.0
1738335833238939,CZ,35-44,2166.0,861.0,18.0
1738335833238939,CZ,45-54,2493.0,1397.0,26.0
1738335833238939,CZ,55-64,1187.0,930.0,7.0
452990393977404,CZ,35-44,6274.0,1496.0,47.0
452990393977404,CZ,45-54,3435.0,1031.0,31.0
452990393977404,CZ,55-64,1129.0,577.0,6.0
452990393977404,CZ,18-24,5942.0,2310.0,36.0
452990393977404,CZ,25-34,12753.0,3488.0,46.0
1664555277283988,CZ,18-24,970.0,147.0,4.0
1664555277283988,CZ,25-34,2011.0,370.0,16.0
1664555277283988,CZ,35-44,1750.0,568.0,13.0
1664555277283988,CZ,45-54,1810.0,1006.0,21.0
1664555277283988,CZ,55-64,850.0,578.0,6.0
422719950524708,CZ,55-64,293.0,207.0,4.0
422719950524708,CZ,18-24,1452.0,1182.0,18.0
422719950524708,CZ,25-34,3626.0,2140.0,18.0
422719950524708,CZ,35-44,1976.0,966.0,16.0
422719950524708,CZ,45-54,1026.0,647.0,11.0
